"data";"valor"
"01/01/1995";"88,6"
"01/02/1995";"50,1"
"01/03/1995";"95,5"
"01/04/1995";"55,9"
"01/05/1995";"54,7"
"01/06/1995";"79,8"
"01/07/1995";"72,0"
"01/08/1995";"62,8"
"01/09/1995";"63,0"
"01/10/1995";"70,4"
"01/11/1995";"45,7"
"01/12/1995";"64,9"
"01/01/1996";"51,6"
"01/02/1996";"43,6"
"01/03/1996";"47,7"
"01/04/1996";"52,7"
"01/05/1996";"53,3"
"01/06/1996";"49,4"
"01/07/1996";"61,8"
"01/08/1996";"64,5"
"01/09/1996";"53,1"
"01/10/1996";"69,9"
"01/11/1996";"54,5"
"01/12/1996";"58,5"
"01/01/1997";"90,5"
"01/02/1997";"59,4"
"01/03/1997";"71,2"
"01/04/1997";"63,5"
"01/05/1997";"73,5"
"01/06/1997";"85,1"
"01/07/1997";"125,3"
"01/08/1997";"80,5"
"01/09/1997";"77,4"
"01/10/1997";"99,3"
"01/11/1997";"66,9"
"01/12/1997";"176,2"
"01/01/1998";"49,8"
"01/02/1998";"35,7"
"01/03/1998";"47,4"
"01/04/1998";"48,5"
"01/05/1998";"59,2"
"01/06/1998";"58,9"
"01/07/1998";"68,0"
"01/08/1998";"47,0"
"01/09/1998";"55,9"
"01/10/1998";"57,3"
"01/11/1998";"40,9"
"01/12/1998";"79,6"
"01/01/1999";"60,0"
"01/02/1999";"36,0"
"01/03/1999";"71,2"
"01/04/1999";"44,2"
"01/05/1999";"57,3"
"01/06/1999";"60,8"
"01/07/1999";"40,0"
"01/08/1999";"49,5"
"01/09/1999";"48,9"
"01/10/1999";"40,6"
"01/11/1999";"43,9"
"01/12/1999";"53,2"
"01/01/2000";"42,1"
"01/02/2000";"42,0"
"01/03/2000";"57,3"
"01/04/2000";"65,2"
"01/05/2000";"115,3"
"01/06/2000";"122,8"
"01/07/2000";"111,4"
"01/08/2000";"129,5"
"01/09/2000";"149,5"
"01/10/2000";"122,2"
"01/11/2000";"154,2"
"01/12/2000";"289,8"
"01/01/2001";"140,2"
"01/02/2001";"142,5"
"01/03/2001";"151,0"
"01/04/2001";"146,5"
"01/05/2001";"170,9"
"01/06/2001";"324,8"
"01/07/2001";"257,8"
"01/08/2001";"133,9"
"01/09/2001";"115,8"
"01/10/2001";"182,2"
"01/11/2001";"145,6"
"01/12/2001";"234,5"
"01/01/2002";"169,7"
"01/02/2002";"115,7"
"01/03/2002";"180,4"
"01/04/2002";"90,1"
"01/05/2002";"111,9"
"01/06/2002";"183,9"
"01/07/2002";"129,4"
"01/08/2002";"138,3"
"01/09/2002";"119,8"
"01/10/2002";"90,2"
"01/11/2002";"103,8"
"01/12/2002";"288,1"
"01/01/2003";"113,6"
"01/02/2003";"118,6"
"01/03/2003";"132,8"
"01/04/2003";"160,4"
"01/05/2003";"209,4"
"01/06/2003";"224,6"
"01/07/2003";"152,8"
"01/08/2003";"311,6"
"01/09/2003";"223,7"
"01/10/2003";"270,3"
"01/11/2003";"126,7"
"01/12/2003";"293,0"
"01/01/2004";"146,0"
"01/02/2004";"118,6"
"01/03/2004";"172,8"
"01/04/2004";"149,7"
"01/05/2004";"119,1"
"01/06/2004";"271,4"
"01/07/2004";"154,8"
"01/08/2004";"149,2"
"01/09/2004";"118,0"
"01/10/2004";"193,2"
"01/11/2004";"256,5"
"01/12/2004";"376,1"
"01/01/2005";"273,0"
"01/02/2005";"336,8"
"01/03/2005";"354,3"
"01/04/2005";"269,3"
"01/05/2005";"371,4"
"01/06/2005";"402,6"
"01/07/2005";"278,3"
"01/08/2005";"362,8"
